Origin,Destination,DepTime,DepHour,DepMin,ArrTime,ArrHour,ArrMin,DurationInHours:Minutes,Duration,FlightNum,Frequency,Index
DEL,BBI,1899-12-30 06:45:00,6,45,1899-12-30 09:00:00,9,0,2:15,135,2701,Except THU,57
DEL,BBI,1899-12-30 19:35:00,19,35,1899-12-30 21:50:00,21,50,2:15,135,2014,Daily,480
DEL,BDQ,1899-12-30 17:05:00,17,5,1899-12-30 18:45:00,18,45,1:40,100,2064,Daily,384
DEL,BHO,1899-12-30 13:50:00,13,50,1899-12-30 15:20:00,15,20,1:30,90,2053,Daily,275
DEL,BLR,1899-12-30 05:00:00,5,0,1899-12-30 07:45:00,7,45,2:45,165,5031,Daily,19
DEL,BLR,1899-12-30 09:10:00,9,10,1899-12-30 12:00:00,12,0,2:50,170,2297,Every TUE,155
DEL,BLR,1899-12-30 12:05:00,12,5,1899-12-30 14:50:00,14,50,2:45,165,2423,Except TUE,251
DEL,BLR,1899-12-30 14:20:00,14,20,1899-12-30 17:05:00,17,5,2:45,165,6614,Except MON/WED/FRI/SUN,325
DEL,BLR,1899-12-30 19:05:00,19,5,1899-12-30 22:00:00,22,0,2:55,175,2637,Daily,490
DEL,BLR,1899-12-30 21:05:00,21,5,1899-12-30 23:50:00,23,50,2:45,165,2131,Daily,529
DEL,BOM,1899-12-30 05:35:00,5,35,1899-12-30 07:45:00,7,45,2:10,130,5335,Daily,21
DEL,BOM,1899-12-30 09:35:00,9,35,1899-12-30 11:50:00,11,50,2:15,135,5339,Daily,149
DEL,BOM,1899-12-30 11:40:00,11,40,1899-12-30 13:45:00,13,45,2:05,125,6957,Daily,220
DEL,BOM,1899-12-30 15:35:00,15,35,1899-12-30 17:40:00,17,40,2:05,125,755,Daily,350
DEL,BOM,1899-12-30 18:05:00,18,5,1899-12-30 20:10:00,20,10,2:05,125,129,Daily,436
DEL,BOM,1899-12-30 19:50:00,19,50,1899-12-30 21:55:00,21,55,2:05,125,197,Daily,484
DEL,CCU,1899-12-30 04:30:00,4,30,1899-12-30 06:40:00,6,40,2:10,130,282,Daily,2
DEL,CCU,1899-12-30 07:50:00,7,50,1899-12-30 10:05:00,10,5,2:15,135,377,Daily,86
DEL,CCU,1899-12-30 10:20:00,10,20,1899-12-30 12:40:00,12,40,2:20,140,6457,Daily,179
DEL,CCU,1899-12-30 18:20:00,18,20,1899-12-30 20:30:00,20,30,2:10,130,307,Daily,443
DEL,CJB,1899-12-30 06:20:00,6,20,1899-12-30 09:15:00,9,15,2:55,175,908,Daily,62
DEL,COK,1899-12-30 14:40:00,14,40,1899-12-30 17:55:00,17,55,3:15,195,6193,Daily,359
DEL,DED,1899-12-30 09:55:00,9,55,1899-12-30 10:45:00,10,45,0:50,50,818,Daily,107
DEL,DED,1899-12-30 13:00:00,13,0,1899-12-30 13:50:00,13,50,0:50,50,966,Except WED/FRI,222
DEL,GAU,1899-12-30 05:20:00,5,20,1899-12-30 07:45:00,7,45,2:25,145,251,Daily,20
DEL,GAU,1899-12-30 17:20:00,17,20,1899-12-30 19:45:00,19,45,2:25,145,694,Daily,423
DEL,GOI,1899-12-30 11:40:00,11,40,1899-12-30 14:20:00,14,20,2:40,160,367,Daily,244
DEL,HYD,1899-12-30 05:10:00,5,10,1899-12-30 07:30:00,7,30,2:20,140,765,Daily,16
DEL,HYD,1899-12-30 07:35:00,7,35,1899-12-30 09:45:00,9,45,2:10,130,5001,Every TUE/THU,76
DEL,HYD,1899-12-30 10:55:00,10,55,1899-12-30 13:15:00,13,15,2:20,140,739,Except THU,197
DEL,HYD,1899-12-30 16:55:00,16,55,1899-12-30 19:10:00,19,10,2:15,135,967,Except THU,403
DEL,HYD,1899-12-30 20:50:00,20,50,1899-12-30 23:05:00,23,5,2:15,135,5055,Daily,522
DEL,IDR,1899-12-30 08:50:00,8,50,1899-12-30 10:20:00,10,20,1:30,90,5038,Daily,93
DEL,IDR,1899-12-30 15:15:00,15,15,1899-12-30 16:40:00,16,40,1:25,85,733,Except TUE/THU,316
DEL,IXB,1899-12-30 14:50:00,14,50,1899-12-30 16:55:00,16,55,2:05,125,5023,Daily,322
DEL,IXC,1899-12-30 10:50:00,10,50,1899-12-30 11:40:00,11,40,0:50,50,545,Except SUN,142
DEL,IXJ,1899-12-30 14:05:00,14,5,1899-12-30 15:35:00,15,35,1:30,90,955,Daily,284
DEL,IXR,1899-12-30 07:05:00,7,5,1899-12-30 08:55:00,8,55,1:50,110,421,Daily,49
DEL,IXR,1899-12-30 17:50:00,17,50,1899-12-30 19:40:00,19,40,1:50,110,6535,Except THU,419
DEL,JAI,1899-12-30 21:35:00,21,35,1899-12-30 22:30:00,22,30,0:55,55,736,Daily,502
DEL,LKO,1899-12-30 08:40:00,8,40,1899-12-30 09:50:00,9,50,1:10,70,906,Daily,79
DEL,LKO,1899-12-30 12:25:00,12,25,1899-12-30 13:35:00,13,35,1:10,70,943,Daily,209
DEL,LKO,1899-12-30 21:00:00,21,0,1899-12-30 22:05:00,22,5,1:05,65,6528,Daily,492
DEL,MAA,1899-12-30 08:30:00,8,30,1899-12-30 11:25:00,11,25,2:55,175,2859,Every TUE,134
DEL,MAA,1899-12-30 10:10:00,10,10,1899-12-30 13:00:00,13,0,2:50,170,5008,Daily,187
DEL,MAA,1899-12-30 15:20:00,15,20,1899-12-30 18:15:00,18,15,2:55,175,2028,Daily,368
DEL,MAA,1899-12-30 19:20:00,19,20,1899-12-30 22:10:00,22,10,2:50,170,2519,Daily,495
DEL,NAG,1899-12-30 10:05:00,10,5,1899-12-30 11:45:00,11,45,1:40,100,135,Except SAT,146
DEL,PAT,1899-12-30 06:35:00,6,35,1899-12-30 08:10:00,8,10,1:35,95,494,Daily,31
DEL,PAT,1899-12-30 12:30:00,12,30,1899-12-30 14:10:00,14,10,1:40,100,6126,Daily,240
DEL,PAT,1899-12-30 16:15:00,16,15,1899-12-30 17:55:00,17,55,1:40,100,653,Daily,358
DEL,PNQ,1899-12-30 04:45:00,4,45,1899-12-30 06:50:00,6,50,2:05,125,643,Daily,5
DEL,PNQ,1899-12-30 08:15:00,8,15,1899-12-30 10:35:00,10,35,2:20,140,6769,Except SAT,103
DEL,PNQ,1899-12-30 17:55:00,17,55,1899-12-30 19:55:00,19,55,2:00,120,286,Daily,427
DEL,RPR,1899-12-30 06:50:00,6,50,1899-12-30 08:40:00,8,40,1:50,110,2757,Except WED/FRI,44
DEL,RPR,1899-12-30 17:25:00,17,25,1899-12-30 19:15:00,19,15,1:50,110,2912,Daily,405
DEL,STV,1899-12-30 11:20:00,11,20,1899-12-30 13:15:00,13,15,1:55,115,5034,Daily,196
DEL,SXR,1899-12-30 15:05:00,15,5,1899-12-30 16:35:00,16,35,1:30,90,2148,Except SUN,313
DEL,UDR,1899-12-30 16:00:00,16,0,1899-12-30 17:20:00,17,20,1:20,80,5041,Daily,339
DEL,VNS,1899-12-30 08:55:00,8,55,1899-12-30 10:20:00,10,20,1:25,85,6613,Daily,92
DEL,VNS,1899-12-30 15:55:00,15,55,1899-12-30 17:15:00,17,15,1:20,80,6176,Except WED/FRI,337
DEL,VTZ,1899-12-30 16:50:00,16,50,1899-12-30 19:10:00,19,10,2:20,140,2719,Daily,404
DIB,CCU,1899-12-30 14:20:00,14,20,1899-12-30 16:05:00,16,5,1:45,105,206,Daily,302
GAU,BLR,1899-12-30 10:35:00,10,35,1899-12-30 13:55:00,13,55,3:20,200,316,Except TUE,225
GAU,BOM,1899-12-30 08:50:00,8,50,1899-12-30 12:05:00,12,5,3:15,195,433,Daily,156
GAU,CCU,1899-12-30 07:55:00,7,55,1899-12-30 09:15:00,9,15,1:20,80,6248,Daily,60
GAU,CCU,1899-12-30 15:45:00,15,45,1899-12-30 17:05:00,17,5,1:20,80,394,Daily,326
GAU,CCU,1899-12-30 17:20:00,17,20,1899-12-30 18:35:00,18,35,1:15,75,291,Daily,381
GAU,DEL,1899-12-30 20:25:00,20,25,1899-12-30 23:05:00,23,5,2:40,160,558,Daily,521
GAU,IMF,1899-12-30 12:35:00,12,35,1899-12-30 13:35:00,13,35,1:00,60,6538,Daily,207
GAU,IXA,1899-12-30 10:20:00,10,20,1899-12-30 11:20:00,11,20,1:00,60,649,Daily,130
GOI,BLR,1899-12-30 14:15:00,14,15,1899-12-30 15:30:00,15,30,1:15,75,714,Except TUE,281
GOI,BOM,1899-12-30 14:45:00,14,45,1899-12-30 16:00:00,16,0,1:15,75,6097,Daily,300
GOI,DEL,1899-12-30 15:20:00,15,20,1899-12-30 18:00:00,18,0,2:40,160,637,Daily,360
GOI,DEL,1899-12-30 18:10:00,18,10,1899-12-30 20:45:00,20,45,2:35,155,724,Except TUE/THU/SAT,454
GOI,HYD,1899-12-30 07:25:00,7,25,1899-12-30 08:45:00,8,45,1:20,80,744,Every SAT,48
GOI,HYD,1899-12-30 13:45:00,13,45,1899-12-30 15:00:00,15,0,1:15,75,381,Daily,259
GOP,HYD,1899-12-30 12:30:00,12,30,1899-12-30 14:45:00,14,45,2:15,135,6318,Daily,250
HYD,AMD,1899-12-30 13:20:00,13,20,1899-12-30 15:05:00,15,5,1:45,105,644,Daily,265
HYD,AMD,1899-12-30 18:20:00,18,20,1899-12-30 20:05:00,20,5,1:45,105,6719,Daily,433
HYD,BBI,1899-12-30 07:00:00,7,0,1899-12-30 08:40:00,8,40,1:40,100,266,Daily,47
HYD,BHO,1899-12-30 14:45:00,14,45,1899-12-30 17:10:00,17,10,2:25,145,7121,Except MON/WED/FRI/SUN,330
HYD,BLR,1899-12-30 07:30:00,7,30,1899-12-30 08:40:00,8,40,1:10,70,2031,Daily,45
HYD,BLR,1899-12-30 09:15:00,9,15,1899-12-30 10:25:00,10,25,1:10,70,151,Daily,96
HYD,BLR,1899-12-30 14:50:00,14,50,1899-12-30 16:00:00,16,0,1:10,70,6739,Daily,299
HYD,BLR,1899-12-30 20:45:00,20,45,1899-12-30 22:05:00,22,5,1:20,80,6505,Daily,491
HYD,BOM,1899-12-30 07:20:00,7,20,1899-12-30 09:00:00,9,0,1:40,100,247,Daily,55
HYD,BOM,1899-12-30 14:15:00,14,15,1899-12-30 15:40:00,15,40,1:25,85,389,Except SAT,290
HYD,BOM,1899-12-30 18:05:00,18,5,1899-12-30 19:30:00,19,30,1:25,85,5376,Except TUE,414
HYD,BOM,1899-12-30 21:20:00,21,20,1899-12-30 23:00:00,23,0,1:40,100,231,Daily,520
HYD,CCU,1899-12-30 06:15:00,6,15,1899-12-30 08:25:00,8,25,2:10,130,353,Daily,37
HYD,CCU,1899-12-30 20:45:00,20,45,1899-12-30 23:00:00,23,0,2:15,135,944,Except TUE/THU,519
HYD,CJB,1899-12-30 12:00:00,12,0,1899-12-30 13:25:00,13,25,1:25,85,6752,Daily,202
HYD,COK,1899-12-30 11:50:00,11,50,1899-12-30 13:25:00,13,25,1:35,95,6334,Daily,200
HYD,DEL,1899-12-30 08:15:00,8,15,1899-12-30 10:40:00,10,40,2:25,145,846,Daily,105
HYD,DEL,1899-12-30 11:20:00,11,20,1899-12-30 13:40:00,13,40,2:20,140,5002,Every TUE/THU,217
HYD,DEL,1899-12-30 14:00:00,14,0,1899-12-30 16:20:00,16,20,2:20,140,6468,Except THU,307
HYD,DEL,1899-12-30 16:40:00,16,40,1899-12-30 19:00:00,19,0,2:20,140,5045,Daily,392
HYD,DEL,1899-12-30 20:10:00,20,10,1899-12-30 22:35:00,22,35,2:25,145,6684,Except THU,506
HYD,GOI,1899-12-30 11:40:00,11,40,1899-12-30 13:05:00,13,5,1:25,85,905,Daily,192
